algorithm,vertices,edges,density,repetitions,avg_time_seconds,avg_peak_memory_kb
Dijkstra (todas as origens),10,31,0.34444444444444444,3,7.570233295458213e-05,0.96875
Floyd-Warshall,10,31,0.34444444444444444,3,7.812733322983452e-05,1.0651041666666667
Dijkstra (todas as origens),25,210,0.35,3,0.0006676836674159858,5.395833333333333
Floyd-Warshall,25,210,0.35,3,0.001171164666933085,5.497395833333333
Dijkstra (todas as origens),50,858,0.35020408163265304,3,0.003826581001097414,20.65625
Floyd-Warshall,50,858,0.35020408163265304,3,0.0056978749992898274,21.645833333333332
